title,date,comment_count,overall_reaction,class,upvote,medium,downvote,score,url
[討論] 新竹市民怎麼看自己的市長？,Thu Oct  1 08:15:28 2020,86,medium,政治,0.36046511627906974,0.627906976744186,0.011627906976744186,34.883720930232556,https://www.ptt.cc/bbs/HatePolitics/M.1601511332.A.065.html
[討論] 有什麼能抹新竹市的東西 大家提出來,Mon Sep 28 12:12:37 2020,22,medium,政治,0.3181818181818182,0.6818181818181818,0.0,31.818181818181817,https://www.ptt.cc/bbs/HatePolitics/M.1601266359.A.F66.html
[新聞] 韓粉忍不住了 新竹立委曝韓國瑜獨家照片,Thu Sep 24 17:47:41 2020,35,medium,政治,0.37142857142857144,0.5142857142857142,0.11428571428571428,25.714285714285715,https://www.ptt.cc/bbs/HatePolitics/M.1600940864.A.F0A.html
[討論] 柯要不要去選新竹市長？,Fri Sep 18 11:25:45 2020,59,medium,政治,0.4745762711864407,0.5084745762711864,0.01694915254237288,45.76271186440678,https://www.ptt.cc/bbs/HatePolitics/M.1600399547.A.67F.html
[討論] 2022縣市長新竹市好亂啊?,Thu Sep 17 11:15:18 2020,68,medium,政治,0.3088235294117647,0.6617647058823529,0.029411764705882353,27.941176470588236,https://www.ptt.cc/bbs/HatePolitics/M.1600312520.A.13E.html
[討論] 新竹市長林智堅 轉戰台北市長,Tue Sep 15 12:36:52 2020,26,medium,政治,0.23076923076923078,0.5769230769230769,0.19230769230769232,3.8461538461538463,https://www.ptt.cc/bbs/HatePolitics/M.1600144614.A.E88.html
[討論] 柯文哲接下來應該拿台北交換新竹桃園,Sun Sep  6 13:01:13 2020,26,medium,政治,0.15384615384615385,0.8461538461538461,0.0,15.384615384615385,https://www.ptt.cc/bbs/HatePolitics/M.1599368476.A.2DB.html
Re: [討論] 新竹關西議員選舉結果,Sat Sep  5 23:41:47 2020,21,medium,政治,0.23809523809523808,0.7142857142857143,0.047619047619047616,19.047619047619047,https://www.ptt.cc/bbs/HatePolitics/M.1599320509.A.B60.html
[討論] 主流民意版都不管新竹縣喝屍水欸,Fri Sep  4 15:04:52 2020,29,medium,政治,0.4827586206896552,0.4827586206896552,0.034482758620689655,44.827586206896555,https://www.ptt.cc/bbs/HatePolitics/M.1599203094.A.30E.html
Re: [討論] 高鈺婷還適合選2022新竹首長嗎？,Sun Aug 30 14:43:30 2020,23,medium,政治,0.4782608695652174,0.5217391304347826,0.0,47.82608695652174,https://www.ptt.cc/bbs/HatePolitics/M.1598769812.A.2FA.html
[黑特] 新竹林志玲也是可憐的三層夾心餅哪,Fri Aug 28 14:59:51 2020,60,medium,政治,0.06666666666666667,0.9,0.03333333333333333,3.3333333333333335,https://www.ptt.cc/bbs/HatePolitics/M.1598597999.A.CEA.html
[討論] 高鈺婷還適合選2022新竹首長嗎？,Wed Aug 26 23:55:34 2020,85,medium,政治,0.18823529411764706,0.7058823529411765,0.10588235294117647,8.235294117647058,https://www.ptt.cc/bbs/HatePolitics/M.1598457337.A.EF4.html
[討論] 時代力量改選? 新竹幫 vs 高雄捷派,Thu Aug 13 11:07:57 2020,155,medium,政治,0.3419354838709677,0.632258064516129,0.025806451612903226,31.612903225806452,https://www.ptt.cc/bbs/HatePolitics/M.1597288080.A.152.html
[轉錄] 連郁婷 新竹縣議員,Thu Aug  6 20:45:16 2020,53,good,政治,0.660377358490566,0.2830188679245283,0.05660377358490566,60.37735849056604,https://www.ptt.cc/bbs/HatePolitics/M.1596717919.A.153.html
[討論] 2022邱顯智會跟民眾黨談新竹合作嗎?,Wed Aug  5 00:17:45 2020,302,medium,政治,0.24172185430463577,0.7350993377483444,0.023178807947019868,21.85430463576159,https://www.ptt.cc/bbs/HatePolitics/M.1596557868.A.F8C.html
[新聞] 新竹薪資全台最高！排名第2竟非六都,Tue Jul 28 20:29:45 2020,34,medium,政治,0.20588235294117646,0.6470588235294118,0.14705882352941177,5.882352941176471,https://www.ptt.cc/bbs/HatePolitics/M.1595939387.A.BB4.html
[轉錄] 曾玟學-苗栗縣長和前新竹縣議長論文同步率>50%,Wed Jul 22 22:02:33 2020,43,good,政治,0.5116279069767442,0.4883720930232558,0.0,51.16279069767442,https://www.ptt.cc/bbs/HatePolitics/M.1595426558.A.A71.html
[新聞] 新竹空軍基地傳直升機墜毀！濃濃黑煙天際,Thu Jul 16 16:05:19 2020,56,medium,政治,0.48214285714285715,0.5,0.017857142857142856,46.42857142857143,https://www.ptt.cc/bbs/HatePolitics/M.1594886721.A.E17.html
[新聞] 涉詐助理費 新竹市議員顏政德二審判4年4,Tue Jul  7 18:24:01 2020,28,good,政治,0.6428571428571429,0.35714285714285715,0.0,64.28571428571429,https://www.ptt.cc/bbs/HatePolitics/M.1594117444.A.2E3.html
[討論] 該啟動新竹縣市合併成第七直轄市了吧！,Sun Jul  5 23:22:06 2020,58,medium,政治,0.15517241379310345,0.8275862068965517,0.017241379310344827,13.793103448275861,https://www.ptt.cc/bbs/HatePolitics/M.1593962529.A.DF1.html
[新聞] 台北到新竹僅45分鐘！蘇揆宣布：五楊高架,Sat Jul  4 15:25:07 2020,134,medium,政治,0.417910447761194,0.5149253731343284,0.06716417910447761,35.07462686567164,https://www.ptt.cc/bbs/HatePolitics/M.1593847513.A.247.html
[討論] 全台最大線上直播 今天出訪新竹,Thu May 28 17:49:08 2020,50,good,政治,0.54,0.46,0.0,54.0,https://www.ptt.cc/bbs/HatePolitics/M.1590659350.A.284.html
