title,date,comment_count,overall_reaction,class,upvote,medium,downvote,score,url
[問題] 新竹水培/水耕盆栽植物哪裡買？？,Sun Oct 18 19:23:49 2020,27,medium,生活,0.1111111111111111,0.8888888888888888,0.0,11.11111111111111,https://www.ptt.cc/bbs/Hsinchu/M.1603020231.A.A08.html
[問題] 今年的風有特別大嗎？,Mon Oct 19 00:23:40 2020,133,good,生活,0.6015037593984962,0.39097744360902253,0.007518796992481203,59.3984962406015,https://www.ptt.cc/bbs/Hsinchu/M.1603038222.A.496.html
Re: [問題] 新竹出生率,Sun Oct 18 09:32:59 2020,56,medium,生活,0.39285714285714285,0.6071428571428571,0.0,39.285714285714285,https://www.ptt.cc/bbs/Hsinchu/M.1602984781.A.ECF.html
[問題] 鐵板麵好吃的早餐店,Sun Oct 18 11:35:28 2020,27,good,生活,0.7407407407407407,0.25925925925925924,0.0,74.07407407407408,https://www.ptt.cc/bbs/Hsinchu/M.1602992130.A.9AD.html
[問題] 要怎麼防止光復路上的飆車噪音???,Sat Oct 17 22:24:41 2020,83,medium,生活,0.39759036144578314,0.5903614457831325,0.012048192771084338,38.55421686746988,https://www.ptt.cc/bbs/Hsinchu/M.1602944688.A.7A2.html
[問題] 請問 竹北 怎麼搭公車到新竹火車站?,Fri Oct 16 23:13:21 2020,29,medium,生活,0.4482758620689655,0.5517241379310345,0.0,44.827586206896555,https://www.ptt.cc/bbs/Hsinchu/M.1602861204.A.7E8.html
[問題] 清交學生回味的食物,Sat Oct 17 16:53:04 2020,54,good,生活,0.6666666666666666,0.2777777777777778,0.05555555555555555,61.111111111111114,https://www.ptt.cc/bbs/Hsinchu/M.1602924786.A.509.html
[問題] 新竹出生率,Fri Oct 16 22:05:21 2020,36,medium,生活,0.4166666666666667,0.5833333333333334,0.0,41.666666666666664,https://www.ptt.cc/bbs/Hsinchu/M.1602857123.A.656.html
[送養］香山可愛小貓找家,Fri Oct 16 22:10:31 2020,21,good,生活,0.9523809523809523,0.047619047619047616,0.0,95.23809523809524,https://www.ptt.cc/bbs/Hsinchu/M.1602857433.A.DE7.html
[問題] 新竹兒童早療推薦 (針對注意力缺失),Thu Oct 15 15:46:31 2020,36,medium,生活,0.25,0.75,0.0,25.0,https://www.ptt.cc/bbs/Hsinchu/M.1602747995.A.207.html
